symbol,name,country,ipo_year,volume,sector,industry
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,United States,,39537,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCPC,Balchem Corporation Common Stock,United States,,89441,Industrials,Major Chemicals
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,United States,1994.0,702625,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCS,Barclays PLC Common Stock,United Kingdom,,11506837,Finance,Commercial Banks
BEAT,Heartbeam Inc. Common Stock,United States,2021.0,25685,Health Care,Medical/Dental Instruments
BECN,Beacon Roofing Supply Inc. Common Stock,United States,2004.0,2619956,Consumer Discretionary,RETAIL: Building Materials
BELFB,Bel Fuse Inc. Class B Common Stock,United States,,22885,,
BFIN,BankFinancial Corporation Common Stock,United States,2005.0,3249,Finance,Savings Institutions
BGFV,Big 5 Sporting Goods Corporation Common Stock,United States,2002.0,38227,Consumer Discretionary,Other Specialty Stores
BIDU,Baidu Inc. ADS,China,2005.0,2378041,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,United States,,713601,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BJRI,BJ's Restaurants Inc. Common Stock,United States,,117058,Consumer Discretionary,Restaurants
BLDP,Ballard Power Systems Inc. Common Shares,Canada,,5525230,Energy,Industrial Machinery/Components
BLDR,Builders FirstSource Inc. Common Stock,United States,2005.0,845812,Consumer Discretionary,RETAIL: Building Materials
BLFS,BioLife Solutions Inc. Common Stock,United States,,506009,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLIN,Bridgeline Digital Inc. Common Stock,United States,2007.0,48167,Technology,Computer Software: Prepackaged Software
BLKB,Blackbaud Inc. Common Stock,United States,2004.0,66687,Technology,Computer Software: Prepackaged Software
BLMN,Bloomin' Brands Inc. Common Stock,United States,2012.0,1597450,Consumer Discretionary,Restaurants
BLRX,BioLineRx Ltd. American Depositary Shares,Israel,,38397,Health Care,Biotechnology: Pharmaceutical Preparations
BLUE,bluebird bio Inc. Common Stock,United States,2013.0,3080250,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BMRC,Bank of Marin Bancorp Common Stock,United States,,44483,Finance,Major Banks
BMRN,BioMarin Pharmaceutical Inc. Common Stock,United States,1999.0,568861,Health Care,Biotechnology: Pharmaceutical Preparations
BOKF,BOK Financial Corporation Common Stock,United States,,25703,Finance,Major Banks
BOSC,B.O.S. Better Online Solutions Common Stock,Israel,,11113,Telecommunications,Computer Communications Equipment
BOTJ,Bank of the James Financial Group Inc. Common Stock,United States,,2958,Finance,Major Banks
BPOP,Popular Inc. Common Stock,United States,,131920,Finance,Major Banks
BRFH,Barfresh Food Group Inc. Common Stock,United States,,2303,Consumer Staples,Packaged Foods
BRID,Bridgford Foods Corporation Common Stock,United States,,2252,Consumer Staples,Specialty Foods
BRKL,Brookline Bancorp Inc. Common Stock,United States,,164148,Finance,Savings Institutions
BRKR,Bruker Corporation Common Stock,United States,,688633,Industrials,Biotechnology: Laboratory Analytical Instruments
BSET,Bassett Furniture Industries Incorporated Common Stock,United States,,4672,Consumer Discretionary,Home Furnishings
BSRR,Sierra Bancorp Common Stock,United States,,8055,Finance,Major Banks
BUR,Burford Capital Limited Ordinary Shares,,2020.0,621861,Finance,Finance: Consumer Services
BUSE,First Busey Corporation Class A Common Stock,United States,,129315,Finance,Major Banks
BV,BrightView Holdings Inc. Common Stock,United States,2018.0,207523,Consumer Discretionary,Business Services
BWEN,Broadwind Inc. Common Stock,United States,,28826,Telecommunications,Metal Fabrications
BWFG,Bankwell Financial Group Inc. Common Stock,United States,2014.0,3733,Finance,Major Banks
BYFC,Broadway Financial Corporation Class A Common Stock,United States,,333,Finance,Savings Institutions
CAAS,China Automotive Systems Inc. Common Stock,China,,102962,Consumer Discretionary,Auto Parts:O.E.M.
CAC,Camden National Corporation Common Stock,United States,,21040,Finance,Major Banks
CACC,Credit Acceptance Corporation Common Stock,United States,1992.0,27944,Finance,Finance: Consumer Services
CAKE,Cheesecake Factory Incorporated (The) Common Stock,United States,1992.0,389175,Consumer Discretionary,Restaurants
CAMP,CAMP4 Therapeutics Corporation Common Stock,United States,2024.0,18153,,
CAMT,Camtek Ltd. Ordinary Shares,Israel,2000.0,290054,Technology,Electronic Components
CAR,Avis Budget Group Inc. Common Stock,United States,,762554,Consumer Discretionary,Rental/Leasing Companies
CARA,Cara Therapeutics Inc. Common Stock,United States,2014.0,14110,Health Care,Biotechnology: Pharmaceutical Preparations
CARV,Carver Bancorp Inc. Common Stock,United States,,14552,Finance,Savings Institutions
CASH,Pathward Financial Inc. Common Stock,United States,1993.0,58861,Finance,Major Banks
CASI,CASI Pharmaceuticals Inc. Ordinary Shares,United States,,2802,Health Care,Biotechnology: Pharmaceutical Preparations
CASS,Cass Information Systems Inc Common Stock,United States,,14088,Consumer Discretionary,Business Services
CASY,Casey's General Stores Inc. Common Stock,United States,1983.0,203874,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CATY,Cathay General Bancorp Common Stock,United States,,170419,Finance,Major Banks
CBAN,Colony Bankcorp Inc. Common Stock,United States,,47413,Finance,Major Banks
CBFV,CB Financial Services Inc. Common Stock,United States,,7538,Finance,Major Banks
CBNK,Capital Bancorp Inc. Common Stock,United States,2018.0,15231,Finance,Major Banks
CBOE,Cboe Global Markets Inc. Common Stock,,2010.0,388018,Finance,Investment Bankers/Brokers/Service
